"Gene","mean","sd"
"ENSG00000143093",7033,328
"ENSG00000116396",3052,10587
"ENSG00000162775",755,3127
"ENSG00000273373",124,10071
"ENSG00000134248",7733,1693
"ENSG00000224699",701,65
"ENSG00000143119",2851,11281
"ENSG00000121931",1112,6208
"ENSG00000156171",6843,7319
"ENSG00000273221",1255,2176
"ENSG00000134255",6869,2203
"ENSG00000162777",5280,8934
"ENSG00000243960",3704,3725
"ENSG00000116455",7842,4567
"ENSG00000116459",11044,3204
"ENSG00000143110",1543,10650
"ENSG00000116473",8556,3684
"ENSG00000064703",2880,2268
"ENSG00000171385",1157,10973
"ENSG00000143079",2736,2818
"ENSG00000134245",2331,7637
"ENSG00000007341",3327,3776
"ENSG00000116489",9589,1318
"ENSG00000155363",9890,5568
"ENSG00000155366",11487,5305
"ENSG00000271810",8972,5135
"ENSG00000155380",6715,7817
"ENSG00000198799",4198,2406
"ENSG00000081026",2052,2724
"ENSG00000116793",3699,2656
"ENSG00000081019",3843,2248
"ENSG00000134262",3565,5432
"ENSG00000163349",10227,5158
"ENSG00000116774",4706,11629
"ENSG00000197323",7851,4033
"ENSG00000116752",4888,5029
"ENSG00000213281",5073,2329
"ENSG00000009307",12183,5321
"ENSG00000052723",4770,1546
"ENSG00000173218",4380,6580
"ENSG00000163393",765,11298
"ENSG00000163399",12264,10728
"ENSG00000203865",8927,9904
"ENSG00000116815",798,2611
"ENSG00000134247",10700,9182
"ENSG00000116830",4037,4207
"ENSG00000198162",7836,4048
"ENSG00000196505",1151,3345
"ENSG00000065183",6773,5740
"ENSG00000116874",3618,5982
"ENSG00000231365",930,7431
"ENSG00000143067",1329,7450
"ENSG00000134250",11326,8123
"ENSG00000265808",10259,5768
"ENSG00000270231",5045,7270
"ENSG00000275131",681,9466
"ENSG00000273136",1579,7903
"ENSG00000171943",5097,4288
"ENSG00000266338",5420,5314
"ENSG00000196369",3861,5585
"ENSG00000272419",417,7847
"ENSG00000162825",2545,3326
"ENSG00000272150",2374,6216
"ENSG00000117262",5179,1363
"ENSG00000265491",7271,1276
"ENSG00000186141",2825,549
"ENSG00000186364",418,3139
"ENSG00000131788",6492,3720
"ENSG00000131779",5659,480
"ENSG00000211451",1070,1042
"ENSG00000265241",8824,2781
"ENSG00000271601",8524,3306
"ENSG00000234222",1631,106
"ENSG00000280778",1960,418
"ENSG00000121851",6643,1533
"ENSG00000265972",12372,12194
"ENSG00000271425",2124,1926
"ENSG00000268043",6340,5009
"ENSG00000131791",8422,9064
"ENSG00000180867",10018,9985
"ENSG00000226015",2494,5292
"ENSG00000131778",6006,3517
"ENSG00000116128",6381,6249
"ENSG00000162836",4700,8880
"ENSG00000188092",2003,1700
"ENSG00000198658",597,469
"ENSG00000263956",4184,4176
"ENSG00000270629",5383,3693
"ENSG00000177144",6369,10311
"ENSG00000178104",4305,10441
"ENSG00000269713",5053,2736
"ENSG00000271383",3698,6180
"ENSG00000277147",702,2298
"ENSG00000203812",328,10832
"ENSG00000261716",1432,9406
"ENSG00000272196",578,11073
"ENSG00000184678",3812,11009
"ENSG00000178096",2115,2953
"ENSG00000143368",8223,2991
"ENSG00000014914",9319,10405
"ENSG00000264522",7000,6729
"ENSG00000136631",9029,739
"ENSG00000023902",8677,10651
"ENSG00000143401",8413,4054
"ENSG00000117362",11329,3954
"ENSG00000118292",2471,5365
"ENSG00000266472",8899,3419
"ENSG00000117360",7997,7629
"ENSG00000163125",8611,1813
"ENSG00000143374",6915,5018
"ENSG00000143369",6023,10326
"ENSG00000143382",5747,10905
"ENSG00000203804",334,10012
"ENSG00000143384",12056,9550
"ENSG00000143420",10787,399
"ENSG00000143457",5154,4739
"ENSG00000163131",4469,11455
"ENSG00000143387",2753,9414
"ENSG00000143437",10073,6304
"ENSG00000143379",7171,2515
"ENSG00000259357",11521,6080
"ENSG00000143418",12234,6799
"ENSG00000143409",5271,4218
"ENSG00000143363",3993,1275
"ENSG00000143443",5254,2511
"ENSG00000213190",3586,11551
"ENSG00000197622",10837,7484
"ENSG00000143458",4255,6066
"ENSG00000143434",666,9894
"ENSG00000163155",1821,1021
"ENSG00000163156",2802,1384
"ENSG00000163159",4565,10
"ENSG00000143398",7844,1769
"ENSG00000159352",10148,2888
"ENSG00000143373",6832,2010
"ENSG00000143393",10134,289
"ENSG00000143390",8605,5996
"ENSG00000143416",5776,11546
"ENSG00000159377",11472,5371
"ENSG00000143442",11000,7963
"ENSG00000143367",2938,8488
"ENSG00000143376",7378,572
"ENSG00000269621",144,91
"ENSG00000143436",5197,52
"ENSG00000182134",349,4296
"ENSG00000159445",6041,5626
"ENSG00000197747",11694,11501
"ENSG00000163191",8921,11183
"ENSG00000163220",5428,12214
"ENSG00000143546",1417,12089
"ENSG00000197956",11560,11680
"ENSG00000196154",3515,11819
"ENSG00000188643",6824,12012
"ENSG00000189171",8648,11230
"ENSG00000271853",6482,10324
"ENSG00000272030",1386,6578
"ENSG00000160679",9416,1058
"ENSG00000143553",7136,2208
"ENSG00000143621",10557,6721
"ENSG00000169418",6574,10715
"ENSG00000279767",7396,8448
"ENSG00000143624",11498,7917
"ENSG00000143554",3595,9851
"ENSG00000143614",7064,1149
"ENSG00000198837",9071,5381
"ENSG00000160741",8176,2281
"ENSG00000143570",10989,4010
"ENSG00000143578",2329,7033
"ENSG00000143543",10120,1727
"ENSG00000143545",9682,6038
"ENSG00000177954",4681,9855
"ENSG00000143549",11757,2055
"ENSG00000143612",11394,1605
"ENSG00000143569",11189,1213
"ENSG00000143575",8264,2294
"ENSG00000143515",6780,9824
"ENSG00000160712",4532,8591
"ENSG00000169291",5274,7080
"ENSG00000160714",9020,14
"ENSG00000160710",11948,1822
"ENSG00000163344",7456,3660
"ENSG00000163346",12034,9212
"ENSG00000271380",3745,8985
"ENSG00000163348",10231,2482
"ENSG00000160691",11703,9282
"ENSG00000173207",354,1417
"ENSG00000160688",4867,934
"ENSG00000160685",9873,6389
"ENSG00000143537",8511,8806
"ENSG00000169242",4649,10845
"ENSG00000169241",6753,10106
"ENSG00000179085",4244,5915
"ENSG00000163463",8181,3728
"ENSG00000273088",7526,4963
"ENSG00000185499",450,10520
"ENSG00000231064",1291,6089
"ENSG00000169231",5425,8679
"ENSG00000173171",4360,467
"ENSG00000236675",2017,437
"ENSG00000177628",9828,7819
"ENSG00000160767",6390,8104
"ENSG00000116521",9964,3336
"ENSG00000176444",9576,8284
"ENSG00000143630",1117,9532
"ENSG00000160752",11130,12316
"ENSG00000225855",9437,12288
"ENSG00000160753",6710,9586
"ENSG00000116539",10318,4127
"ENSG00000125459",4524,8781
"ENSG00000246203",4233,2937
"ENSG00000163374",9264,1255
